Ürün Adı,Tarih,Fiyat
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-03,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-07,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-10,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-14,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-18,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-23,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-27,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-03-30,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-03,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-07,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-10,202500.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-12,196000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-14,200333.33333333334
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-15,204666.66666666666
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-18,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-21,197500.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-22,186000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-23,187666.66666666666
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-25,189333.33333333334
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-04-27,191000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-01,195666.66666666666
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-02,200333.33333333334
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-03,205000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-05,195500.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-08,186000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-10,188500.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-12,191000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-13,191000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-15,191000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-18,205000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-21,207000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-23,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-25,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-05-28,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-01,205000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-02,201000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-04,197000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-06,197000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-10,197000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-13,194500.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-17,192000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-19,191500.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-20,191000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-23,190500.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-26,190000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-06-29,188000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-07-03,188000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-07-04,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-07-07,196000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-07-09,183000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-07-11,183000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-07-12,183000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-07-13,183000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-01-13,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-01-17,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-01-20,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-02-02,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-02-07,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-02-13,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-02-18,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-02-22,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-02-26,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-03-03,36000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-03-07,35333.333333333336
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-03-10,34666.666666666664
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-03-14,34000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-03-18,33000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-03-23,32000.0
Asus TUF Gaming A15 (2023) FA507NUR-LP035 Notebook,2025-03-27,32000.0
